"","Brand","Country","Whiskies","Votes","Rating","WB Ranking",""
"1","""GF""","Scotland",3,3,91.42,"B",NA
"2","""L""","Scotland",1,1,83.67,"D",NA
"3","""zari"" on top","Scotland",1,NA,NA,"G",NA
"4","'S Peaty","Scotland",11,5,86.81,"C",NA
"5","'t Koelschip","Netherlands",8,6,33.45,"G",NA
"6","(ri)1","United States",3,3,71.13,"F",NA
"7","100 Pipers","Scotland",33,11,72.72,"F",NA
"8","100% Islay Selection","Scotland",5,4,86.36,"C",NA
"9","106 Sample Room","Scotland",1,NA,NA,"G",NA
"10","10th Mountain","United States",2,NA,NA,"G",NA
"11","11Wells","United States",6,1,76,"E",NA
"12","12 (B) Squadron","Scotland",2,1,86,"C",NA
"13","150th Tomintoul Highland Games","Scotland",1,NA,NA,"G",NA
"14","1512 Spirits","United States",8,3,80.27,"D",NA
"15","1770","Scotland",1,NA,NA,"G",NA
"16","1792","United States",16,10,86.78,"C",NA
"17","1794 Maryland","United States",1,NA,NA,"G",NA
"18","1812 Maryland","United States",1,NA,NA,"G",NA
"19","1815 - 13 Sterne","Switzerland",2,1,80,"D",NA
"20","1835","United States",2,NA,NA,"G",NA
"21","1836","Scotland",6,4,85.78,"C",NA
"22","1907","Bhutan",1,NA,NA,"G",NA
"23","1936","Canada",1,1,80,"D",NA
"24","2 Gingers","Ireland",1,1,76.27,"E",NA
"25","2003 X 2013","Scotland",1,1,85.6,"C",NA
"26","2005 X 2015","Scotland",1,1,86.62,"C",NA
"27","21 Brands","United States",1,NA,NA,"G",NA
"28","2bar","United States",3,3,73.67,"F",NA
"29","2nd Chance","United States",3,2,79.94,"E",NA
"30","3 Howls","United States",3,NA,NA,"G",NA
"31","3 Isles","Scotland",1,1,75,"E",NA
"32","3020","Switzerland",1,1,77,"E",NA
"33","3D","Scotland",1,1,82.25,"D",NA
"34","5 Gulden","Austria",1,NA,NA,"G",NA
"35","50 Years' Celebration","Scotland",1,NA,NA,"G",NA
"36","500 Year Malt","Scotland",2,2,89,"C",NA
"37","5th and Harrison","Scotland",1,1,87.67,"C",NA
"38","6th Avenue","United States",1,NA,NA,"G",NA
"39","8 PM","India",2,1,62,"G",NA
"40","8 Seconds","Canada",2,1,68,"G",NA
"41","80 20","Scotland",1,NA,NA,"G",NA
"42","808","Scotland",2,1,74,"F",NA
"43","A Confidential Distillery in Speyside","Scotland",1,1,87,"C",NA
"44","A Distillery in Ireland","Ireland",3,3,87.08,"C",NA
"45","A Distillery in Orkney","Scotland",4,2,87.61,"C",NA
"46","A Distillery in Speyside","Scotland",1,1,89,"C",NA
"47","A Distillery in Tennessee","United States",1,1,87,"C",NA
"48","A Dream Of Scotland","Scotland",21,17,86.75,"C",NA
"49","A Drop of the Irish","Ireland",29,21,84.09,"D",NA
"50","A Local Islay","Scotland",1,1,81.67,"D",NA
"51","A Northern Islay Distillery","Scotland",2,2,89.17,"C",NA
"52","A Rare Find","Scotland",2,2,91.67,"B",NA
"53","A Real Scotch Whisky","Scotland",1,NA,NA,"G",NA
"54","A Secret Highland Still","Scotland",1,NA,NA,"G",NA
"55","A Single Shot","Scotland",1,NA,NA,"G",NA
"56","A Speyside Distillery","Scotland",11,10,86.73,"C",NA
"57","A Speyside Malt","Scotland",1,1,88,"C",NA
"58","A Speyside Single Malt","Scotland",3,3,90.41,"B",NA
"59","A Splendid Speyside Surprise","Scotland",1,1,85,"C",NA
"60","A Very Special Speyside","Scotland",1,1,86,"C",NA
"61","A'echter Mölltaler","Austria",1,1,89,"C",NA
"62","A. D. Laws","United States",10,3,83.33,"D",NA
"63","A. J. Cummins","United States",1,NA,NA,"G",NA
"64","A. Pichi's","Italy",1,NA,NA,"G",NA
"65","A.H. Hirsch","United States",16,7,91.16,"B",NA
"66","AA. Browell & Co.","Scotland",1,NA,NA,"G",NA
"67","Aass & Egge","Norway",1,1,76.67,"E",NA
"68","Abe Lincoln's","United States",1,NA,NA,"G",NA
"69","Aberdeen Angus","Argentina",1,1,55,"G",NA
"70","Aberdeen Angus Merial","Scotland",1,NA,NA,"G",NA
"71","Aberdeen Football Club","Scotland",3,NA,NA,"G",NA
"72","Aberfeldy","Scotland",269,203,83.54,"D",NA
"73","Abergeldie","Scotland",1,NA,NA,"G",NA
"74","Aberlogie","Scotland",2,2,90,"B",NA
"75","Aberlour","Scotland",777,611,85.12,"C",NA
"76","Aberlour Glenlivet","Scotland",2,1,85.5,"C",NA
"77","Abhainn Dearg","Scotland",19,17,66.13,"G",NA
"78","Abrachan","Scotland",3,3,80.22,"D",NA
"79","Abraham Bowman","United States",13,11,82.48,"D",NA
"80","Addisons","Scotland",1,NA,NA,"G",NA
"81","Adelscott","Scotland",1,1,81,"D",NA
"82","Aden Arms Hotel","Scotland",1,NA,NA,"G",NA
"83","Adirondack","United States",3,NA,NA,"G",NA
"84","Adnams","United Kingdom",8,7,73.94,"F",NA
"85","Advent Scot","Scotland",1,1,76.5,"E",NA
"86","Ae Fond Kiss","Scotland",1,NA,NA,"G",NA
"87","Aecht Schlenkerla","Germany",1,1,61,"G",NA
"88","AEppelTreow","United States",1,NA,NA,"G",NA
"89","Aflodals","Sweden",2,1,88,"C",NA
"90","Afrika Safari","United Kingdom",1,NA,NA,"G",NA
"91","After Dark","India",1,NA,NA,"G",NA
"92","Against the Grain","Scotland",7,6,83.11,"D",NA
"93","Agárdi","Hungary",1,1,80.67,"D",NA
"94","Aged Malt Spirit","France",1,1,42.5,"G",NA
"95","Aichinger","Austria",5,5,74.76,"F",NA
"96","Aikman's","Scotland",2,NA,NA,"G",NA
"97","Ailein Mor","Scotland",2,2,82,"D",NA
"98","Ailsa Bay","Scotland",2,2,80.75,"D",NA
"99","Ainslie's","Scotland",32,12,82.35,"D",NA
"100","Airman Whiskey","United States",2,NA,NA,"G",NA
"101","Alainn","Scotland",1,1,92,"B",NA
"102","Alambik","Netherlands",3,2,76.32,"E",NA
"103","Alaska Outlaw","United States",1,1,55,"G",NA
"104","Alastair's","Scotland",2,NA,NA,"G",NA
"105","Albany","Scotland",1,NA,NA,"G",NA
"106","Albany Castle","Scotland",1,NA,NA,"G",NA
"107","Alberta","Canada",12,8,81.05,"D",NA
"108","Albertson","Scotland",2,NA,NA,"G",NA
"109","Alde Gott","Germany",1,NA,NA,"G",NA
"110","Alderman's","Scotland",1,NA,NA,"G",NA
"111","Aldunie Dufftown Malt","Scotland",1,1,85,"C",NA
"112","Alex Ferguson & Co.","Scotland",1,NA,NA,"G",NA
"113","Alex Perino's","United States",1,NA,NA,"G",NA
"114","Alexander Dunn","Scotland",1,NA,NA,"G",NA
"115","Alexander Muir's","Scotland",1,NA,NA,"G",NA
"116","ALF 69","Scotland",1,NA,NA,"G",NA
"117","Alibi","United States",2,1,50,"G",NA
"118","Alistair Cunningham's","Scotland",1,1,88,"C",NA
"119","Alley 6","United States",1,NA,NA,"G",NA
"120","Allgäu Brown","Germany",1,NA,NA,"G",NA
"121","Allgäu-Whisky","Germany",4,2,63.17,"G",NA
"122","Allied Distillers","Scotland",1,NA,NA,"G",NA
"123","Allman & Co.","Ireland",1,NA,NA,"G",NA
"124","Allman's","Ireland",2,NA,NA,"G",NA
"125","Alloway Legend","Scotland",1,NA,NA,"G",NA
"126","Allt-a-Bhainne","Scotland",263,198,82.39,"D",NA
"127","Alpenwhisky","Austria",11,4,84.33,"D",NA
"128","Alt Enderle","Germany",17,14,83.66,"D",NA
"129","Altore","France",2,2,64.63,"G",NA
"130","Always Mellow","Scotland",1,1,68.5,"G",NA
"131","Amador","United States",2,2,83.59,"D",NA
"132","Ambassador","Scotland",29,10,83.69,"D",NA
"133","Amber Glen","Scotland",2,NA,NA,"G",NA
"134","Amber Gold","United States",1,NA,NA,"G",NA
"135","Ambiente","",1,1,59,"G",NA
"136","America","United States",2,NA,NA,"G",NA
"137","American","United States",4,NA,NA,"G",NA
"138","American Barrels","United States",1,NA,NA,"G",NA
"139","American Cowboy","United States",4,NA,NA,"G",NA
"140","American Medicinal Spirits","United States",6,1,89.5,"C",NA
"141","American Sour Mash","United States",1,1,81,"D",NA
"142","American Star","United States",1,NA,NA,"G",NA
"143","American Whiskey","United States",1,1,83,"D",NA
"144","Ammertaler","Germany",1,NA,NA,"G",NA
"145","Amrita","India",3,3,82.06,"D",NA
"146","Amrut","India",314,262,85.04,"C",NA
"147","An Cnoc","Scotland",84,75,84,"D",NA
"148","An Iconic Speyside","Scotland",7,5,85.03,"C",NA
"149","An Iconic Speyside Distillery","Scotland",6,3,86.96,"C",NA
"150","An Islay Distillery","Scotland",4,4,87.46,"C",NA
"151","Anam an Islay","Scotland",1,1,86.6,"C",NA
"152","Ancestor","Scotland",14,5,87.1,"C",NA
"153","Anchor Bay","Scotland",1,NA,NA,"G",NA
"154","Anchorage","United States",1,NA,NA,"G",NA
"155","Ancient Age","United States",23,5,82.15,"D",NA
"156","Ancient Clan","Scotland",1,NA,NA,"G",NA
"157","Ancient Memories","Scotland",1,NA,NA,"G",NA
"158","Ancient Old Kentucky","United States",1,NA,NA,"G",NA
"159","Anderson Club","United States",4,NA,NA,"G",NA
"160","Anderson's","Scotland",2,NA,NA,"G",NA
"161","Andrew Usher & Co","Scotland",1,NA,NA,"G",NA
"162","Andy MacDuff","Scotland",2,1,78,"E",NA
"163","Andy Player","Philippines",1,1,38,"G",NA
"164","Angel's Dream","Scotland",2,2,81,"D",NA
"165","Angel's Envy","United States",23,13,83.41,"D",NA
"166","Angels and Devils","Scotland",1,1,76,"E",NA
"167","Angels' Nectar","Scotland",4,2,81.27,"D",NA
"168","Angus Dundee","Scotland",5,2,89.25,"C",NA
"169","Angus Mc.Neil","Scotland",1,NA,NA,"G",NA
"170","Angus McKay","Scotland",9,3,80.08,"D",NA
"171","Anima","Netherlands",2,1,65,"G",NA
"172","Ankara","Turkey",5,3,67.67,"G",NA
"173","Ann Deoch","Scotland",1,NA,NA,"G",NA
"174","Anniversary","",2,NA,NA,"G",NA
"175","Anniversary Malt","Scotland",2,2,85.89,"C",NA
"176","Anon.","Scotland",2,2,88.02,"C",NA
"177","Anonymas","Scotland",1,1,91.25,"B",NA
"178","Anonymous","Scotland",1,1,86,"C",NA
"179","Anonymous Speyside Distillery","Scotland",1,NA,NA,"G",NA
"180","Antediluvian","",1,NA,NA,"G",NA
"181","Antique","",22,2,85.5,"C",NA
"182","Antique Liqueur","Scotland",1,NA,NA,"G",NA
"183","Antiquity","India",2,1,67.25,"G",NA
"184","Aosiman","",1,NA,NA,"G",NA
"185","Apple Valley Inn","United States",1,NA,NA,"G",NA
"186","Arbikie","Scotland",1,NA,NA,"G",NA
"187","Arbroath FC","Scotland",2,NA,NA,"G",NA
"188","Arcadia","Scotland",1,NA,NA,"G",NA
"189","Arcanum","Scotland",2,2,84.75,"D",NA
"190","Archer's","Scotland",8,3,83.58,"D",NA
"191","Archie Rose","Australia",1,NA,NA,"G",NA
"192","Arctic Velvet","Scotland",1,1,78,"E",NA
"193","ARD-MORE","Scotland",2,1,87.95,"C",NA
"194","Ardbeg","Scotland",1557,1327,88.92,"C",NA
"195","Ardenistle","Scotland",1,1,84.67,"D",NA
"196","Ardlair","Scotland",4,2,84.59,"D",NA
"197","Ardlussa","Scotland",1,NA,NA,"G",NA
"198","Ardmore","Scotland",692,523,84.93,"D",NA
"199","Ardnamurchan","Scotland",12,7,80.62,"D",NA
"200","Ardnave","Scotland",4,3,70.67,"F",NA
"201","Argyll","Scotland",9,3,84.33,"D",NA
"202","Argyll Malt","Scotland",1,1,85,"C",NA
"203","Aristocrat","India",1,NA,NA,"G",NA
"204","Armor","Scotland",2,2,88.34,"C",NA
"205","Armorik","France",52,48,81.84,"D",NA
"206","Arran","Scotland",1441,1132,85.05,"C",NA
"207","Arthur Bell & Sons","Scotland",1,1,78,"E",NA
"208","As We Get It","Scotland",32,31,83.35,"D",NA
"209","Ascona Whisky","Switzerland",5,5,82.28,"D",NA
"210","Ascot House","Scotland",3,NA,NA,"G",NA
"211","ASDA","Scotland",5,4,74.31,"F",NA
"212","Asheville Distilling Co.","United States",2,NA,NA,"G",NA
"213","Askaig","Scotland",5,1,88,"C",NA
"214","Astor","Scotland",1,NA,NA,"G",NA
"215","àsuka","Scotland",1,NA,NA,"G",NA
"216","ASW","United States",2,NA,NA,"G",NA
"217","Asyla","Scotland",11,7,81.84,"D",NA
"218","Atherton","United States",2,NA,NA,"G",NA
"219","Atholl Distilleries","Scotland",1,NA,NA,"G",NA
"220","Atholl Highlander","Scotland",2,NA,NA,"G",NA
"221","Auchenhame","Scotland",2,NA,NA,"G",NA
"222","Auchentoshan","Scotland",835,614,83.85,"D",NA
"223","Auchindoun","Scotland",7,6,83.42,"D",NA
"224","Auchnagie","Scotland",10,7,79.48,"E",NA
"225","Auchroisk","Scotland",327,231,84.25,"D",NA
"226","Auchtermuchty","Scotland",1,NA,NA,"G",NA
"227","Audny","Norway",3,3,64.61,"G",NA
"228","August 17th","Belgium",2,1,60.33,"G",NA
"229","Auguste Mattei","France",1,NA,NA,"G",NA
"230","Augustus Barnett","Scotland",2,NA,NA,"G",NA
"231","Auld Acquaintance","Scotland",3,NA,NA,"G",NA
"232","Auld Acrimony","Scotland",1,1,79,"E",NA
"233","Auld Armoury","Scotland",1,NA,NA,"G",NA
"234","Auld Blended","Scotland",2,2,88.92,"C",NA
"235","Auld Curlers","Scotland",2,NA,NA,"G",NA
"236","Auld Edinburgh","Scotland",5,3,84.67,"D",NA
"237","Auld Grey Toon","Scotland",1,NA,NA,"G",NA
"238","Auld Licht","Scotland",1,NA,NA,"G",NA
"239","Auld Malcolm","Canada",2,NA,NA,"G",NA
"240","Auld Niblick","Scotland",1,NA,NA,"G",NA
"241","Auld Petrie","Scotland",1,NA,NA,"G",NA
"242","Auld Reekie","Scotland",4,3,80.85,"D",NA
"243","Auld Scottie","Scotland",4,NA,NA,"G",NA
"244","Auld Shepp","Scotland",1,NA,NA,"G",NA
"245","Auld Stag","Egypt",1,1,52,"G",NA
"246","Aultmore","Scotland",516,368,84.87,"D",NA
"247","Aureum 1865","Germany",21,19,79.23,"E",NA
"248","Austrasier","Germany",5,2,84,"D",NA
"249","Autenrieder","Germany",1,1,76,"E",NA
"250","Averna","Italy",1,NA,NA,"G",NA
"251","Averys","Ireland",5,NA,NA,"G",NA
"252","Avonside","Scotland",16,5,87.56,"C",NA
"253","Avro Shackleton","Scotland",1,NA,NA,"G",NA
"254","AWA","France",22,13,79.26,"E",NA
"255","Ayrer's","Germany",37,29,82.21,"D",NA
"256","Ayreshire","Scotland",2,1,83.13,"D",NA
"257","Ayrshire","Scotland",36,34,86.51,"C",NA
"258","Az-Granata","Azerbaijan",2,NA,NA,"G",NA
"259","B&B","Scotland",3,NA,NA,"G",NA
"260","B. J. Holladay","United States",1,NA,NA,"G",NA
"261","B.P.R.","United States",1,NA,NA,"G",NA
"262","Baal Weiyade","Scotland",1,NA,NA,"G",NA
"263","BAAS","Germany",4,4,74.46,"F",NA
"264","Babcock","Scotland",1,NA,NA,"G",NA
"265","Baby - Brook","Luxembourg",2,2,83.5,"D",NA
"266","Bachelor","India",1,NA,NA,"G",NA
"267","bachgau-Destille","Germany",5,1,65,"G",NA
"268","Back The Bairns","Scotland",2,NA,NA,"G",NA
"269","Backbone Bourbon","United States",12,4,81,"D",NA
"270","Baden Whisky","Germany",1,1,68,"G",NA
"271","Badger","Scotland",1,1,96,"A",NA
"272","Bagpiper","India",2,2,52.25,"G",NA
"273","Baileys","Ireland",1,NA,NA,"G",NA
"274","Baillie's","Scotland",1,NA,NA,"G",NA
"275","Bain's","South Africa",4,4,79.37,"E",NA
"276","Bainbridge","United States",2,NA,NA,"G",NA
"277","Baird's","Scotland",3,1,79.86,"E",NA
"278","Baker","Scotland",2,NA,NA,"G",NA
"279","Baker's","United States",7,7,73.35,"F",NA
